uo_id,pidm,id_bl,cohort,id_eoy_2223
951459529,4156898,370,1516,NA
951498194,4213367,371,1516,NA
951398309,4059665,372,1516,NA
951453602,4149440,373,1516,NA
951481279,4185292,374,1516,NA
951487107,4196219,375,1516,NA
951463502,4161599,376,1516,NA
951479462,4182390,377,1516,NA
951461075,4158825,378,1516,NA
951464566,4162663,379,1516,NA
951474297,4174834,380,1516,NA
951483174,4187890,381,1516,NA
951489706,4200155,382,1516,NA
951404504,4066587,383,1516,NA
951485261,4192116,384,1516,NA
951485502,4194028,385,1516,NA
951465020,4163117,386,1516,NA
951530544,4266261,387,1516,NA
951495459,4209116,388,1516,NA
951481427,4185440,389,1516,NA
951463570,4161667,390,1516,NA
951499927,4216520,391,1516,NA
951474204,4174689,392,1516,NA
951460477,4158201,393,1516,NA
951500944,4218112,394,1516,NA
951464824,4162921,395,1516,NA
951489695,4200133,396,1516,NA
951497757,4212474,397,1516,NA
951469243,4168067,398,1516,NA
951504734,4225791,399,1516,NA
951464201,4162298,400,1516,NA
951457174,4153741,401,1516,NA
951482736,4187431,402,1516,NA
951506522,4229955,403,1516,NA
951510303,4239537,404,1516,NA
951510294,4239528,405,1516,NA
951500575,4217423,406,1516,NA
951506941,4231245,407,1516,NA
951468010,4166458,408,1516,NA
951484528,4191362,409,1516,NA
951463925,4162022,410,1516,NA
951481845,4185862,411,1516,NA
951483556,4188796,412,1516,NA
951455142,4151234,413,1516,NA
951475670,4176901,414,1516,NA
951469332,4168156,415,1516,NA
951479949,4183174,416,1516,NA
951474941,4175832,417,1516,NA
951489484,4199928,418,1516,NA
951481644,4185657,419,1516,NA
951508471,4234562,420,1516,NA
951461037,4158785,421,1516,NA
951460363,4158087,422,1516,NA
951453664,4149502,423,1516,NA
951453616,4149454,424,1516,NA
951459340,4156709,425,1516,NA
951485045,4191879,426,1516,NA
951461145,4158900,427,1516,NA
951503759,4223957,428,1516,NA
951493193,4205028,429,1516,NA
951476746,4178544,430,1516,NA
951478054,4180478,431,1516,NA
951461121,4158876,432,1516,NA
951480019,4183391,433,1516,NA
951507407,4231715,434,1516,NA
951463726,4161823,435,1516,NA
951477001,4178977,436,1516,NA
951506943,4231247,437,1516,NA
951464597,4162694,438,1516,NA
951467510,4165957,439,1516,NA
951472983,4173066,440,1516,NA
951505207,4226689,441,1516,NA
951482462,4187157,442,1516,NA
951462613,4160710,443,1516,NA
951485073,4191908,444,1516,NA
